term 	 tf-idf weight 	 BM25 ranking 
poets 	 6766.173728946427 0.8992918449565849 
connection 	 4071.0881725048175 0.8992918449565849 
supply 	 3403.7424221583756 0.8992918449565849 
fantastically 	 8287.75174875176 0.8992918449565849 
integrating 	 5592.66619231015 0.8992918449565849 
accomplish 	 6058.68024003053 0.8992918449565849 
learn 	 3775.2880435920065 0.8992918449565849 
excited 	 8287.75174875176 0.8992918449565849 
assimilate 	 8287.75174875176 0.8992918449565849 
accommodate 	 6367.73405860071 0.8992918449565849 
changed 	 1943.0735968599272 1.2407055143771513 
assistant 	 4846.156038795379 0.8992918449565849 
walk 	 1864.2220641033834 1.4204639176615979 
imprints 	 8287.75174875176 0.8992918449565849 
associate 	 5592.66619231015 0.8992918449565849 
language 	 995.027804871454 1.4204639176615979 
form 	 2134.6797585126706 0.8992918449565849 
access 	 995.027804871454 1.4204639176615979 
easily 	 4209.703762606239 0.8992918449565849 
teach 	 1748.1985697136984 1.4204639176615979 
presses 	 7327.742903676235 0.8992918449565849 
internet 	 1433.7193005779957 0.8992918449565849 
lest 	 7327.742903676235 0.8992918449565849 
impression 	 5592.66619231015 0.8992918449565849 
absence 	 4071.0881725048175 0.8992918449565849 
tempts 	 8287.75174875176 0.8992918449565849 
quit 	 6367.73405860071 0.8992918449565849 
bringing 	 4447.716368449662 0.8992918449565849 
set 	 2055.515355344342 0.8992918449565849 
brims 	 8287.75174875176 0.8992918449565849 
hope 	 1224.2161673863673 1.4204639176615979 
excitement 	 6367.73405860071 0.8992918449565849 
tells 	 4735.29688866753 0.8992918449565849 
class 	 1407.639599258241 1.2407055143771513 
granville 	 3663.8714518381175 1.2407055143771513 
risk 	 3286.630439739508 0.8992918449565849 
teenagers 	 6058.68024003053 0.8992918449565849 
attending 	 5244.5957091410955 0.8992918449565849 
special 	 2289.6860724551902 0.8992918449565849 
los 	 4284.586864065571 0.8992918449565849 
angeles 	 4537.102220225198 0.8992918449565849 
serves 	 4138.662549879481 0.8992918449565849 
chance 	 4138.662549879481 0.8992918449565849 
diploma 	 5806.1648838709025 0.8992918449565849 
discussions 	 4363.751267233899 0.8992918449565849 
prints 	 8287.75174875176 0.8992918449565849 
paintings 	 4143.87587437588 1.2407055143771513 
horses 	 1183.9645355359655 1.7023403993281825 
german 	 3324.5780189900465 0.8992918449565849 
franz 	 1802.575071175062 1.4204639176615979 
basis 	 2737.5952872047865 0.8992918449565849 
marc's 	 4143.87587437588 1.2407055143771513 
weird 	 8287.75174875176 0.8992918449565849 
stuff 	 1591.9335146501776 1.5314017381373934 
explained 	 4537.102220225198 0.8992918449565849 
picture 	 1379.5541832931606 1.4204639176615979 
describe 	 2104.8518813031196 1.2407055143771513 
happening 	 6766.173728946427 0.8992918449565849 
shapes 	 7327.742903676235 0.8992918449565849 
step 	 3324.5780189900465 0.8992918449565849 
painting 	 6766.173728946427 0.8992918449565849 
assignment 	 6766.173728946427 0.8992918449565849 
communal 	 6058.68024003053 0.8992918449565849 
