term 	 tf-idf weight 	 BM25 ranking 
sensitive 	 1852.426436247266 1.3078903727995603 
grain 	 13097.248114549751 0.5485612828540866 
size 	 8278.591004722055 0.5485612828540866 
impurities 	 17915.90522437745 0.5485612828540866 
shallow 	 14626.660032105128 0.5485612828540866 
addition 	 2218.2906926636406 1.0627179348880342 
cloud 	 13097.248114549751 0.5485612828540866 
obtaining 	 11021.965455953276 0.5485612828540866 
suitable 	 2267.4829679665613 1.3078903727995603 
infrequent 	 17915.90522437745 0.5485612828540866 
accurate 	 1789.4344629365212 1.387940982461886 
extent 	 3512.4861310783244 0.8609740508021263 
continental 	 11690.05724858802 0.5485612828540866 
basin 	 15840.622565780972 0.5485612828540866 
requires 	 3817.27376707446 0.8609740508021263 
free 	 3788.719603719935 0.5485612828540866 
signals 	 5668.7074199164035 0.8609740508021263 
resolution 	 636.21229451241 1.6386837783146067 
spaceborne 	 1746.015785818696 1.387940982461886 
coarser 	 17915.90522437745 0.5485612828540866 
variation 	 4588.446635728165 1.0627179348880342 
mountainous 	 6275.688686754325 0.8609740508021263 
promised 	 10236.446848137606 0.5485612828540866 
advantages 	 1861.8403963367016 1.2037495419586017 
night 	 4024.0848237802434 0.8609740508021263 
decade 	 8048.169647560487 0.5485612828540866 
acquisition 	 10476.094714912177 0.5485612828540866 
processing 	 2132.0588854713933 1.2037495419586017 
quantitative 	 11690.05724858802 0.5485612828540866 
interpretation 	 2646.4283069709627 1.0627179348880342 
advanced 	 7539.491931395067 0.5485612828540866 
doorstep 	 17915.90522437745 0.5485612828540866 
sir 	 933.4235618128556 1.5456082243436535 
airsar 	 2091.8962289181086 1.387940982461886 
ers 	 2437.7766720175214 1.387940982461886 
significant 	 1277.7126609715065 1.3078903727995603 
improvement 	 2842.7451806285244 1.0627179348880342 
backscattering 	 5971.9684081258165 1.0627179348880342 
polarization 	 1462.6660032105126 1.5815401665716704 
algorithm 	 3960.155641445243 1.2037495419586017 
retrieve 	 14626.660032105128 0.5485612828540866 
indicates 	 5368.303388809563 0.8609740508021263 
rate 	 3226.4764416445487 0.8609740508021263 
developed 	 1493.2217472410027 1.2037495419586017 
tested 	 3412.1489493792023 1.0627179348880342 
band 	 617.4754787490888 1.7001115671014806 
jpl 	 4200.4060281578495 0.8609740508021263 
hydrological 	 7920.311282890486 0.8609740508021263 
operations 	 6518.757730005111 0.5485612828540866 
maps 	 5238.047357456088 0.8609740508021263 
derived 	 2559.1117120344015 1.2037495419586017 
compare 	 11690.05724858802 0.5485612828540866 
reasonably 	 10014.567579509365 0.5485612828540866 
accuracy 	 2147.3213555238253 1.3078903727995603 
imagery 	 3673.9884853177587 1.0627179348880342 
daylight 	 15840.622565780972 0.5485612828540866 
advances 	 10236.446848137606 0.5485612828540866 
quantitatively 	 17915.90522437745 0.5485612828540866 
topographic 	 7313.330016052564 0.8609740508021263 
potentially 	 11690.05724858802 0.5485612828540866 
extended 	 8800.60504583352 0.5485612828540866 
experiments 	 1461.2571560735025 1.5029259012833986 
mounted 	 14626.660032105128 0.5485612828540866 
trucks 	 15840.622565780972 0.5485612828540866 
spacecraft 	 13765.339907184496 0.5485612828540866 
thin 	 12089.85023810584 0.5485612828540866 
layer 	 12089.85023810584 0.5485612828540866 
bare 	 3274.312028637438 1.2037495419586017 
thinly 	 15840.622565780972 0.5485612828540866 
vegetated 	 4478.976306094362 1.2037495419586017 
surfaces 	 2925.332006421025 1.3078903727995603 
basic 	 3101.6541730627896 0.8609740508021263 
approaches 	 942.4364914243833 1.5029259012833986 
typically 	 2358.316118068284 1.2037495419586017 
radiometry 	 17915.90522437745 0.5485612828540866 
utilize 	 11021.965455953276 0.5485612828540866 
contrast 	 7634.54753414892 0.5485612828540866 
dielectric 	 4478.976306094362 1.2037495419586017 
constant 	 2204.393091190655 1.3078903727995603 
wet 	 2619.4496229099504 1.3078903727995603 
emissivity 	 17915.90522437745 0.5485612828540866 
lower 	 3362.6611936185222 0.8609740508021263 
increase 	 6263.795251834232 0.5485612828540866 
backscatter 	 3441.334976796124 1.2037495419586017 
approaching 	 14626.660032105128 0.5485612828540866 
differences 	 5972.886988964011 0.5485612828540866 
swath 	 15840.622565780972 0.5485612828540866 
width 	 15840.622565780972 0.5485612828540866 
power 	 4313.280646261057 0.5485612828540866 
requirements 	 3293.020730213087 0.8609740508021263 
