term 	 tf-idf weight 	 BM25 ranking 
problematic 	 20343.084089989257 0.45475642748501155 
cutoff 	 20343.084089989257 0.45475642748501155 
conservative 	 13146.004719802639 0.45475642748501155 
giving 	 8921.840469873756 0.45475642748501155 
potential 	 3945.182720708607 0.7410208563151437 
day 	 1334.9997938686872 1.08137937674991 
massive 	 12861.059566871578 0.45475642748501155 
temperatures 	 20343.084089989257 0.45475642748501155 
action 	 2580.8208638781134 0.9377991096513584 
mongolia 	 20343.084089989257 0.45475642748501155 
note 	 10480.85381054965 0.45475642748501155 
presence 	 5651.023113097843 0.7410208563151437 
gradient 	 7669.411666414083 0.9377991096513584 
prior 	 9021.716215094293 0.45475642748501155 
migration 	 15526.210476124568 0.45475642748501155 
