term 	 tf-idf weight 	 BM25 ranking 
landscape 	 3442.599367573267 1.082025651833564 
oil 	 4775.863140903763 0.7416279396105556 
ruth 	 5079.157536122156 1.082025651833564 
komatsu 	 5079.157536122156 1.082025651833564 
financial 	 806.33816999185 1.404304537426343 
planner 	 5744.578829459703 1.082025651833564 
ozzie 	 5744.578829459703 1.082025651833564 
kotani 	 5744.578829459703 1.082025651833564 
recording 	 7496.629898894121 0.7416279396105556 
slack 	 2539.578768061078 1.404304537426343 
key 	 839.9182925231669 1.404304537426343 
preserving 	 9379.822064676635 0.7416279396105556 
legacy 	 9379.822064676635 0.7416279396105556 
tradition 	 2447.951113153962 1.082025651833564 
kuwaye 	 11489.157658919406 0.7416279396105556 
francisco 	 5469.008764335438 0.7416279396105556 
vice 	 2777.1780742357196 1.082025651833564 
investments 	 6885.198735146534 0.7416279396105556 
