term 	 tf-idf weight 	 BM25 ranking 
modifiable 	 6668.099662112426 1.0076710528135855 
circumstances 	 800.5723108749147 1.5057313070307274 
warrant 	 4671.482360235963 1.0076710528135855 
modification 	 2924.3140140239984 1.1503634177109439 
feels 	 13052.725912501586 0.5057754414684522 
visits 	 6329.488612151148 0.8073755263114146 
detrimental 	 16331.638105319787 0.5057754414684522 
friendly 	 11429.67328434336 0.5057754414684522 
reached 	 8986.316343284805 0.5057754414684522 
sets 	 11181.930333433469 0.5057754414684522 
schedule 	 12306.757020458183 0.5057754414684522 
term 	 2182.5160947365575 1.0076710528135855 
subjective 	 12306.757020458183 0.5057754414684522 
detailed 	 3531.437003436099 0.8073755263114146 
provision 	 5367.767443944845 0.8073755263114146 
certainty 	 15369.916937113483 0.5057754414684522 
grandparents 	 17687.10796172538 0.5057754414684522 
relationships 	 8634.096139440691 0.5057754414684522 
financial 	 1403.9523449389346 1.1503634177109439 
assistance 	 8118.770416778168 0.5057754414684522 
provided 	 3836.187485617194 0.8073755263114146 
help 	 1918.0533857960534 1.0076710528135855 
deductible 	 8165.819052659894 0.8073755263114146 
paying 	 2285.934656868672 1.2571778466026422 
taxable 	 8165.819052659894 0.8073755263114146 
recipient 	 3164.744306075574 1.1503634177109439 
statutory 	 12658.977224302296 0.5057754414684522 
guidelines 	 9380.065031484097 0.5057754414684522 
militate 	 20004.29898633728 0.5057754414684522 
payor's 	 20004.29898633728 0.5057754414684522 
net 	 7757.01240332587 0.5057754414684522 
sources 	 1945.0488562598196 0.8073755263114146 
paid 	 4432.369654410785 0.8073755263114146 
depending 	 4835.472032380214 0.8073755263114146 
percent 	 1540.5995173004803 1.3401346558440155 
special 	 2763.3287148800364 0.8073755263114146 
psychological 	 3836.187485617194 0.8073755263114146 
standard 	 3566.6277769102758 0.8073755263114146 
living 	 2451.251013382843 1.0076710528135855 
enjoyed 	 13499.121358045366 0.5057754414684522 
remained 	 12306.757020458183 0.5057754414684522 
independent 	 6316.9051148287945 0.5057754414684522 
maintained 	 11697.256056095994 0.5057754414684522 
despite 	 8634.096139440691 0.5057754414684522 
disagreements 	 16331.638105319787 0.5057754414684522 
enacted 	 13499.121358045366 0.5057754414684522 
employers 	 10532.866777157347 0.5057754414684522 
withhold 	 7684.9584685567415 0.8073755263114146 
wages 	 5080.519739491933 0.8073755263114146 
employees 	 8315.474208354834 0.5057754414684522 
receives 	 10735.53488788969 0.5057754414684522 
evidence 	 948.7284459180971 1.4606104314743455 
month 	 8118.770416778168 0.5057754414684522 
withheld 	 15369.916937113483 0.5057754414684522 
enter 	 4994.782997923143 0.8073755263114146 
requiring 	 10951.287164052588 0.5057754414684522 
employer 	 10735.53488788969 0.5057754414684522 
pay 	 1819.6565707587747 1.1503634177109439 
sum 	 14014.447080707889 0.5057754414684522 
sends 	 13052.725912501586 0.5057754414684522 
unemployed 	 16331.638105319787 0.5057754414684522 
seek 	 1074.5493405289365 1.5057313070307274 
employment 	 1420.7466269572387 1.3401346558440155 
diligently 	 20004.29898633728 0.5057754414684522 
looking 	 7509.269452415978 0.5057754414684522 
modified 	 4994.782997923143 0.8073755263114146 
increased 	 4059.385208389084 0.8073755263114146 
decreased 	 7684.9584685567415 0.8073755263114146 
abated 	 10002.14949316864 0.8073755263114146 
payments 	 4621.798551901441 0.8073755263114146 
accrue 	 16331.638105319787 0.5057754414684522 
dischargeable 	 10002.14949316864 0.8073755263114146 
bankruptcy 	 6329.488612151148 0.8073755263114146 
alimony 	 20004.29898633728 0.5057754414684522 
criteria 	 11697.256056095994 0.5057754414684522 
met 	 7278.626283035099 0.5057754414684522 
evaluates 	 15369.916937113483 0.5057754414684522 
setting 	 7757.01240332587 0.5057754414684522 
apportioned 	 10002.14949316864 0.8073755263114146 
assigned 	 5994.067544686162 0.8073755263114146 
earning 	 7684.9584685567415 0.8073755263114146 
capacity 	 3081.1990346009607 1.0076710528135855 
impairment 	 7311.974022535041 0.8073755263114146 
seeking 	 2186.857256673124 1.1503634177109439 
devoting 	 20004.29898633728 0.5057754414684522 
foregone 	 20004.29898633728 0.5057754414684522 
delayed 	 14014.447080707889 0.5057754414684522 
training 	 2401.716932624744 1.0076710528135855 
career 	 2674.8650583595004 1.0076710528135855 
opportunities 	 8418.34386327779 0.5057754414684522 
enable 	 11988.135089372325 0.5057754414684522 
acquire 	 14623.948045070081 0.5057754414684522 
appropriate 	 2674.8650583595004 1.0076710528135855 
able 	 2286.7352987132854 1.0076710528135855 
custodian 	 8843.55398086269 0.8073755263114146 
established 	 4012.297587539251 0.8073755263114146 
duration 	 6329.488612151148 0.8073755263114146 
emotional 	 1683.6687726555583 1.2571778466026422 
condition 	 2644.3334681225447 1.0076710528135855 
respective 	 5170.8930998452 0.8073755263114146 
economic 	 1666.2625341075777 1.0076710528135855 
contributions 	 8024.595175078502 0.5057754414684522 
services 	 673.005740742924 1.4064239729092278 
potential 	 6860.205896139856 0.5057754414684522 
agrees 	 11988.135089372325 0.5057754414684522 
claim 	 2706.2568055927222 1.0076710528135855 
renewed 	 12306.757020458183 0.5057754414684522 
reserved 	 1853.257167437914 0.8073755263114146 
actions 	 3602.575398937116 0.8073755263114146 
fairly 	 13052.725912501586 0.5057754414684522 
divide 	 6153.378510229091 0.8073755263114146 
owned 	 10341.7861996904 0.5057754414684522 
third 	 6795.291235119566 0.5057754414684522 
defined 	 3037.4940865771546 1.0076710528135855 
acquired 	 1091.828941891986 1.5057313070307274 
following 	 1231.1239140128619 1.1503634177109439 
gift 	 6153.378510229091 0.8073755263114146 
